pci_intrs:2:config:cpu	1
pci_intrs:2:config:name	mpt_sas0
pci_intrs:2:config:pil	5
pci_intrs:2:config:type	msi
pci_intrs:4:config:cpu	0
pci_intrs:4:config:name	ast0
pci_intrs:4:config:pil	9
pci_intrs:4:config:type	fixed
pci_intrs:6:config:cpu	0
pci_intrs:6:config:name	ehci0
pci_intrs:6:config:pil	9
pci_intrs:6:config:type	fixed
pci_intrs:7:config:cpu	0
pci_intrs:7:config:name	ohci0
pci_intrs:7:config:pil	9
pci_intrs:7:config:type	fixed
pci_intrs:8:config:cpu	0
pci_intrs:8:config:name	ohci1
pci_intrs:8:config:pil	9
pci_intrs:8:config:type	fixed
pci_intrs:17:config:cpu	8
pci_intrs:17:config:name	pcieb3
pci_intrs:17:config:pil	9
pci_intrs:17:config:type	msi
pci_intrs:18:config:cpu	16
pci_intrs:18:config:name	pcieb6
pci_intrs:18:config:pil	9
pci_intrs:18:config:type	msi
pci_intrs:19:config:cpu	24
pci_intrs:19:config:name	pcieb10
pci_intrs:19:config:pil	9
pci_intrs:19:config:type	msi
pci_intrs:20:config:cpu	32
pci_intrs:20:config:name	pcieb4
pci_intrs:20:config:pil	9
pci_intrs:20:config:type	msi
pci_intrs:21:config:cpu	40
pci_intrs:21:config:name	pcieb5
pci_intrs:21:config:pil	9
pci_intrs:21:config:type	msi
pci_intrs:22:config:cpu	48
pci_intrs:22:config:name	pcieb8
pci_intrs:22:config:pil	9
pci_intrs:22:config:type	msi
pci_intrs:23:config:cpu	56
pci_intrs:23:config:name	pcieb9
pci_intrs:23:config:pil	9
pci_intrs:23:config:type	msi
pci_intrs:24:config:cpu	9
pci_intrs:24:config:name	pcieb14
pci_intrs:24:config:pil	9
pci_intrs:24:config:type	msi
pci_intrs:25:config:cpu	17
pci_intrs:25:config:name	pcieb15
pci_intrs:25:config:pil	9
pci_intrs:25:config:type	msi
pci_intrs:26:config:cpu	25
pci_intrs:26:config:name	pcieb16
pci_intrs:26:config:pil	9
pci_intrs:26:config:type	msi
pci_intrs:27:config:cpu	33
pci_intrs:27:config:name	pcieb17
pci_intrs:27:config:pil	9
pci_intrs:27:config:type	msi
pci_intrs:28:config:cpu	64
pci_intrs:28:config:name	pcieb21
pci_intrs:28:config:pil	9
pci_intrs:28:config:type	msi
pci_intrs:29:config:cpu	72
pci_intrs:29:config:name	pcieb22
pci_intrs:29:config:pil	9
pci_intrs:29:config:type	msi
pci_intrs:30:config:cpu	80
pci_intrs:30:config:name	pcieb23
pci_intrs:30:config:pil	9
pci_intrs:30:config:type	msi
pci_intrs:31:config:cpu	88
pci_intrs:31:config:name	pcieb25
pci_intrs:31:config:pil	9
pci_intrs:31:config:type	msi
pci_intrs:32:config:cpu	96
pci_intrs:32:config:name	pcieb26
pci_intrs:32:config:pil	9
pci_intrs:32:config:type	msi
pci_intrs:33:config:cpu	104
pci_intrs:33:config:name	pcieb27
pci_intrs:33:config:pil	9
