
        Device   Type    MSG #   State   INO     EQ#     Share    Pil    CPU   
         bge#2   Fixed    ---    enbl    0x15    ---         1      6    243 
         bge#3   Fixed    ---    enbl    0x16    ---         1      6    244 
          px#8   PCIe      27    enbl    0x3b    0x23        1      1     36 
          px#8   PCIe      51    enbl    0x3a    0x22        1      9     35 
          px#8   PCIe      49    enbl    0x39    0x21        1      9     34 
          px#8   PCIe      48    enbl    0x38    0x20        1      9     33 
         mpt#1   MSI        0    enbl    0x18    0x0         1      5      1 
          px#9   PCIe      27    enbl    0x3b    0x23        1      1    226 
          px#9   PCIe      51    enbl    0x3a    0x22        1      9    225 
          px#9   PCIe      49    enbl    0x39    0x21        1      9    224 
          px#9   PCIe      48    enbl    0x38    0x20        1      9    223 
          px#10  PCIe      27    enbl    0x3b    0x23        1      1    216 
          px#10  PCIe      51    enbl    0x3a    0x22        1      9    215 
          px#10  PCIe      49    enbl    0x39    0x21        1      9    214 
          px#10  PCIe      48    enbl    0x38    0x20        1      9    213 
       emlxs#7   MSI        3    enbl    0x1b    0x3         1      6    184 
       emlxs#7   MSI        2    enbl    0x1a    0x2         1      6    183 
       emlxs#6   MSI        1    enbl    0x19    0x1         1      6    182 
       emlxs#6   MSI        0    enbl    0x18    0x0         1      6    181 
          px#11  PCIe      27    enbl    0x3b    0x23        1      1     10 
          px#11  PCIe      51    enbl    0x3a    0x22        1      9      9 
          px#11  PCIe      49    enbl    0x39    0x21        1      9      8 
          px#11  PCIe      48    enbl    0x38    0x20        1      9      7 
          px#12  PCIe      27    enbl    0x3b    0x23        1      1     46 
          px#12  PCIe      51    enbl    0x3a    0x22        1      9     45 
          px#12  PCIe      49    enbl    0x39    0x21        1      9     44 
          px#12  PCIe      48    enbl    0x38    0x20        1      9     43 
        nxge#9   MSI-X    240    enbl    0x27    0xf         1      6    170 
        nxge#9   MSI-X    241    enbl    0x26    0xe         1      6    206 
        nxge#9   MSI-X    242    enbl    0x25    0xd         1      6    247 
        nxge#9   MSI-X    243    enbl    0x24    0xc         1      6     23 
        nxge#8   MSI-X    244    enbl    0x23    0xb         1      6     22 
        nxge#8   MSI-X    245    enbl    0x22    0xa         1      6     21 
        nxge#8   MSI-X    246    enbl    0x21    0x9         1      6     20 
        nxge#8   MSI-X    247    enbl    0x20    0x8         1      6     19 
        nxge#7   MSI-X    248    enbl    0x1f    0x7         1      6     18 
        nxge#7   MSI-X    249    enbl    0x1e    0x6         1      6     17 
        nxge#7   MSI-X    250    enbl    0x1d    0x5         1      6     16 
        nxge#7   MSI-X    251    enbl    0x1c    0x4         1      6     15 
        nxge#6   MSI-X    252    enbl    0x1b    0x3         1      6     14 
        nxge#6   MSI-X    253    enbl    0x1a    0x2         1      6     13 
        nxge#6   MSI-X    254    enbl    0x19    0x1         1      6     12 
        nxge#6   MSI-X    255    enbl    0x18    0x0         1      6     11 
          px#13  PCIe      27    enbl    0x3b    0x23        1      1     82 
          px#13  PCIe      51    enbl    0x3a    0x22        1      9     81 
          px#13  PCIe      49    enbl    0x39    0x21        1      9     80 
          px#13  PCIe      48    enbl    0x38    0x20        1      9     79 
          px#14  PCIe      27    enbl    0x3b    0x23        1      1    252 
          px#14  PCIe      51    enbl    0x3a    0x22        1      9    251 
          px#14  PCIe      49    enbl    0x39    0x21        1      9    250 
          px#14  PCIe      48    enbl    0x38    0x20        1      9    249 
       emlxs#9   MSI        3    enbl    0x1b    0x3         1      6    220 
       emlxs#9   MSI        2    enbl    0x1a    0x2         1      6    219 
       emlxs#8   MSI        1    enbl    0x19    0x1         1      6    218 
       emlxs#8   MSI        0    enbl    0x18    0x0         1      6    217 
          px#15  PCIe      27    enbl    0x3b    0x23        1      1    118 
          px#15  PCIe      51    enbl    0x3a    0x22        1      9    117 
          px#15  PCIe      49    enbl    0x39    0x21        1      9    116 
          px#15  PCIe      48    enbl    0x38    0x20        1      9    115 
