pci_intrs:18:config:cpu	128
pci_intrs:18:config:name	pcieb18
pci_intrs:18:config:pil	9
pci_intrs:18:config:type	msi
pci_intrs:19:config:cpu	8
pci_intrs:19:config:name	pcieb9
pci_intrs:19:config:pil	9
pci_intrs:19:config:type	msi
pci_intrs:20:config:cpu	16
pci_intrs:20:config:name	mpt_sas0
pci_intrs:20:config:pil	5
pci_intrs:20:config:type	msix
pci_intrs:21:config:cpu	24
pci_intrs:21:config:name	mpt_sas0
pci_intrs:21:config:pil	5
pci_intrs:21:config:type	msix
pci_intrs:22:config:cpu	32
pci_intrs:22:config:name	mpt_sas0
pci_intrs:22:config:pil	5
pci_intrs:22:config:type	msix
pci_intrs:23:config:cpu	40
pci_intrs:23:config:name	mpt_sas0
pci_intrs:23:config:pil	5
pci_intrs:23:config:type	msix
pci_intrs:24:config:cpu	48
pci_intrs:24:config:name	mpt_sas0
pci_intrs:24:config:pil	5
pci_intrs:24:config:type	msix
pci_intrs:25:config:cpu	56
pci_intrs:25:config:name	mpt_sas0
pci_intrs:25:config:pil	5
pci_intrs:25:config:type	msix
pci_intrs:26:config:cpu	64
pci_intrs:26:config:name	mpt_sas0
pci_intrs:26:config:pil	5
pci_intrs:26:config:type	msix
pci_intrs:27:config:cpu	72
pci_intrs:27:config:name	mpt_sas0
pci_intrs:27:config:pil	5
pci_intrs:27:config:type	msix
pci_intrs:28:config:cpu	80
pci_intrs:28:config:name	mpt_sas0
pci_intrs:28:config:pil	5
pci_intrs:28:config:type	msix
pci_intrs:29:config:cpu	88
pci_intrs:29:config:name	mpt_sas0
pci_intrs:29:config:pil	5
pci_intrs:29:config:type	msix
pci_intrs:30:config:cpu	96
pci_intrs:30:config:name	mpt_sas0
pci_intrs:30:config:pil	5
pci_intrs:30:config:type	msix
pci_intrs:31:config:cpu	104
pci_intrs:31:config:name	mpt_sas0
pci_intrs:31:config:pil	5
pci_intrs:31:config:type	msix
pci_intrs:32:config:cpu	112
pci_intrs:32:config:name	mpt_sas0
pci_intrs:32:config:pil	5
pci_intrs:32:config:type	msix
pci_intrs:33:config:cpu	120
pci_intrs:33:config:name	mpt_sas0
pci_intrs:33:config:pil	5
pci_intrs:33:config:type	msix
pci_intrs:34:config:cpu	9
pci_intrs:34:config:name	mpt_sas0
pci_intrs:34:config:pil	5
pci_intrs:34:config:type	msix
pci_intrs:35:config:cpu	17
pci_intrs:35:config:name	mpt_sas0
pci_intrs:35:config:pil	5
pci_intrs:35:config:type	msix
pci_intrs:36:config:cpu	0
pci_intrs:36:config:name	pcieb2
pci_intrs:36:config:pil	9
pci_intrs:36:config:type	msi
pci_intrs:37:config:cpu	1
pci_intrs:37:config:name	pcieb3
pci_intrs:37:config:pil	9
pci_intrs:37:config:type	msi
pci_intrs:38:config:cpu	25
pci_intrs:38:config:name	pcieb4
pci_intrs:38:config:pil	9
pci_intrs:38:config:type	msi
pci_intrs:39:config:cpu	33
pci_intrs:39:config:name	pcieb5
pci_intrs:39:config:pil	9
pci_intrs:39:config:type	msi
pci_intrs:40:config:cpu	41
pci_intrs:40:config:name	pcieb8
pci_intrs:40:config:pil	9
pci_intrs:40:config:type	msi
pci_intrs:41:config:cpu	49
pci_intrs:41:config:name	pcieb10
pci_intrs:41:config:pil	9
pci_intrs:41:config:type	msi
pci_intrs:42:config:cpu	136
pci_intrs:42:config:name	pcieb13
pci_intrs:42:config:pil	9
pci_intrs:42:config:type	msi
pci_intrs:43:config:cpu	144
pci_intrs:43:config:name	pcieb14
pci_intrs:43:config:pil	9
pci_intrs:43:config:type	msi
pci_intrs:44:config:cpu	152
pci_intrs:44:config:name	pcieb15
pci_intrs:44:config:pil	9
pci_intrs:44:config:type	msi
pci_intrs:45:config:cpu	160
pci_intrs:45:config:name	pcieb19
pci_intrs:45:config:pil	9
pci_intrs:45:config:type	msi
pci_intrs:46:config:cpu	168
pci_intrs:46:config:name	pcieb20
pci_intrs:46:config:pil	9
pci_intrs:46:config:type	msi
pci_intrs:47:config:cpu	176
pci_intrs:47:config:name	pcieb21
pci_intrs:47:config:pil	9
pci_intrs:47:config:type	msi
pci_intrs:48:config:cpu	184
pci_intrs:48:config:name	emlxs0
pci_intrs:48:config:pil	6
pci_intrs:48:config:type	msix
pci_intrs:49:config:cpu	192
pci_intrs:49:config:name	emlxs0
pci_intrs:49:config:pil	6
pci_intrs:49:config:type	msix
pci_intrs:50:config:cpu	200
pci_intrs:50:config:name	emlxs0
pci_intrs:50:config:pil	6
pci_intrs:50:config:type	msix
pci_intrs:51:config:cpu	208
pci_intrs:51:config:name	emlxs0
pci_intrs:51:config:pil	6
pci_intrs:51:config:type	msix
pci_intrs:52:config:cpu	216
pci_intrs:52:config:name	emlxs0
pci_intrs:52:config:pil	6
pci_intrs:52:config:type	msix
pci_intrs:53:config:cpu	224
pci_intrs:53:config:name	emlxs0
pci_intrs:53:config:pil	6
pci_intrs:53:config:type	msix
pci_intrs:54:config:cpu	232
pci_intrs:54:config:name	emlxs0
pci_intrs:54:config:pil	6
pci_intrs:54:config:type	msix
pci_intrs:55:config:cpu	240
pci_intrs:55:config:name	emlxs0
pci_intrs:55:config:pil	6
pci_intrs:55:config:type	msix
pci_intrs:88:config:cpu	249
pci_intrs:88:config:name	emlxs2
pci_intrs:88:config:pil	6
pci_intrs:88:config:type	msix
pci_intrs:89:config:cpu	130
pci_intrs:89:config:name	emlxs2
pci_intrs:89:config:pil	6
pci_intrs:89:config:type	msix
pci_intrs:90:config:cpu	138
pci_intrs:90:config:name	emlxs2
pci_intrs:90:config:pil	6
pci_intrs:90:config:type	msix
pci_intrs:91:config:cpu	146
pci_intrs:91:config:name	emlxs2
pci_intrs:91:config:pil	6
pci_intrs:91:config:type	msix
pci_intrs:92:config:cpu	154
pci_intrs:92:config:name	emlxs2
pci_intrs:92:config:pil	6
pci_intrs:92:config:type	msix
pci_intrs:93:config:cpu	162
pci_intrs:93:config:name	emlxs2
pci_intrs:93:config:pil	6
pci_intrs:93:config:type	msix
pci_intrs:94:config:cpu	170
pci_intrs:94:config:name	emlxs2
pci_intrs:94:config:pil	6
pci_intrs:94:config:type	msix
pci_intrs:95:config:cpu	178
pci_intrs:95:config:name	emlxs2
pci_intrs:95:config:pil	6
pci_intrs:95:config:type	msix
pci_intrs:156:config:cpu	30
pci_intrs:156:config:name	ixgbe1
pci_intrs:156:config:pil	6
pci_intrs:156:config:type	msix
pci_intrs:157:config:cpu	38
pci_intrs:157:config:name	ixgbe1
pci_intrs:157:config:pil	6
pci_intrs:157:config:type	msix
pci_intrs:180:config:cpu	90
pci_intrs:180:config:name	xhci0
pci_intrs:180:config:pil	9
pci_intrs:180:config:type	msix
pci_intrs:188:config:cpu	31
pci_intrs:188:config:name	ixgbe6
pci_intrs:188:config:pil	6
pci_intrs:188:config:type	msix
pci_intrs:189:config:cpu	39
pci_intrs:189:config:name	ixgbe6
pci_intrs:189:config:pil	6
pci_intrs:189:config:type	msix
pci_intrs:201:config:cpu	187
pci_intrs:201:config:name	emlxs4
pci_intrs:201:config:pil	6
pci_intrs:201:config:type	msix
pci_intrs:202:config:cpu	195
pci_intrs:202:config:name	emlxs4
pci_intrs:202:config:pil	6
pci_intrs:202:config:type	msix
pci_intrs:203:config:cpu	203
pci_intrs:203:config:name	emlxs4
pci_intrs:203:config:pil	6
pci_intrs:203:config:type	msix
pci_intrs:204:config:cpu	211
pci_intrs:204:config:name	emlxs4
pci_intrs:204:config:pil	6
pci_intrs:204:config:type	msix
pci_intrs:205:config:cpu	219
pci_intrs:205:config:name	emlxs4
pci_intrs:205:config:pil	6
pci_intrs:205:config:type	msix
pci_intrs:206:config:cpu	227
pci_intrs:206:config:name	emlxs4
pci_intrs:206:config:pil	6
