pci_intrs:105:config:cpu	387
pci_intrs:105:config:name	mpt_sas1
pci_intrs:105:config:pil	5
pci_intrs:105:config:type	msix
pci_intrs:226:config:cpu	388
pci_intrs:226:config:name	mpt_sas1
pci_intrs:226:config:pil	5
pci_intrs:226:config:type	msix
pci_intrs:227:config:cpu	395
pci_intrs:227:config:name	mpt_sas1
pci_intrs:227:config:pil	5
pci_intrs:227:config:type	msix
pci_intrs:228:config:cpu	396
pci_intrs:228:config:name	mpt_sas1
pci_intrs:228:config:pil	5
pci_intrs:228:config:type	msix
pci_intrs:229:config:cpu	403
pci_intrs:229:config:name	mpt_sas1
pci_intrs:229:config:pil	5
pci_intrs:229:config:type	msix
pci_intrs:230:config:cpu	404
pci_intrs:230:config:name	mpt_sas1
pci_intrs:230:config:pil	5
pci_intrs:230:config:type	msix
pci_intrs:231:config:cpu	411
pci_intrs:231:config:name	mpt_sas1
pci_intrs:231:config:pil	5
pci_intrs:231:config:type	msix
pci_intrs:232:config:cpu	412
pci_intrs:232:config:name	mpt_sas1
pci_intrs:232:config:pil	5
pci_intrs:232:config:type	msix
pci_intrs:233:config:cpu	419
pci_intrs:233:config:name	mpt_sas1
pci_intrs:233:config:pil	5
pci_intrs:233:config:type	msix
pci_intrs:234:config:cpu	420
pci_intrs:234:config:name	mpt_sas1
pci_intrs:234:config:pil	5
pci_intrs:234:config:type	msix
pci_intrs:235:config:cpu	426
pci_intrs:235:config:name	mpt_sas1
pci_intrs:235:config:pil	5
pci_intrs:235:config:type	msix
pci_intrs:236:config:cpu	427
pci_intrs:236:config:name	mpt_sas1
pci_intrs:236:config:pil	5
pci_intrs:236:config:type	msix
pci_intrs:237:config:cpu	434
pci_intrs:237:config:name	mpt_sas1
pci_intrs:237:config:pil	5
pci_intrs:237:config:type	msix
pci_intrs:238:config:cpu	435
pci_intrs:238:config:name	mpt_sas1
pci_intrs:238:config:pil	5
pci_intrs:238:config:type	msix
pci_intrs:239:config:cpu	442
pci_intrs:239:config:name	mpt_sas1
pci_intrs:239:config:pil	5
